,town,avg_predict,,
191,龍安里,1.10930407925408,,
192,龍福里,1.35975765158119,,
193,龍光里,1.40514149908335,,
194,龍門里,1.35746143855353,,
195,龍坡里,1.35834601332211,,
196,龍泉里,1.43305223577311,,
197,龍生里,1.28991669014705,,
198,龍田里,1.25881336858457,,
199,龍圖里,1.41576077923907,,
200,龍興里,1.32974377289377,,
201,龍淵里,1.27415661560499,,
202,龍雲里,1.29813526786581,,
203,龍陣里,1.29161073686979,,
204,龍洲里,1.18029308465872,,
205,蘆洲里,1.1643650768335,,
206,綠堤里,1.19038773118602,,
207,梅花里,1.25712591097502,,
208,美仁里,1.39304740497183,,
209,民安里,1.21387521573153,,
210,民福里,1.24465905359189,,
211,民輝里,1.34415967228662,,
212,民權里,1.28178565783125,,
213,民有里,1.25099042854134,,
214,民炤里,1.34681787407827,,
215,名山里,1.28842510683086,,
216,明湖里,1.05927142857143,,
217,明勝里,1.27396308705696,,
218,明興里,1.26582187297033,,
219,明義里,1.21471443915027,,
220,銘德里,1.36396202183441,,
221,木柵里,1.2251074789916,,
222,木新里,1.30537311022311,,
223,南芳里,1.58514084428899,,
224,南福里,1.25804871600972,,
225,南港里,1.15882890127834,,
226,南湖里,1.32062182729551,,
227,南門里,1.043270995671,,
228,內溝里,1.21169047619048,,
229,內湖里,1.22806536074864,,
230,蓬萊里,1.29716380103733,,
231,鵬程里,1.41425032589529,,
232,埤頭里,1.28263344155844,,
233,平等里,1.2168836656034,,
234,奇岩里,1.3445498630689,,
235,前港里,1.18458267067289,,
236,青山里,1.13261978380016,,
237,清白里,1.43578209835404,,
238,清江里,1.29472355030789,,
239,晴光里,1.16348205188166,,
240,全安里,1.36474494673371,,
241,全德里,1.23503002737962,,
242,泉源里,1.22474305555556,,
243,群賢里,1.2873679003612,,
244,群英里,1.4034457553884,,
245,仁愛里,1.2461851805721,,
246,仁慈里,1.2139879260892,,
247,仁德里,1.22140357420357,,
248,仁福里,1.22081167621562,,
249,仁勇里,1.27752258293512,,
250,日善里,1.37772398009054,,
251,日祥里,1.28926528502362,,
252,榮德里,1.17534534354534,,
253,榮光里,1.32463520204721,,
254,榮華里,1.30522716306287,,
255,瑞光里,1.31333526234,,
256,瑞陽里,1.35317750104716,,
257,三愛里,1.24835083829214,,
258,三犁里,1.29915921729483,,
259,三民里,1.2218142443258,,
260,三玉里,1.24047628192957,,
261,三張里,1.33438852580394,,
262,三重里,1.24530436672906,,
263,廈安里,1.43723057162781,,
264,社新里,1.30784831764786,,
265,社園里,1.37963404178753,,
266,社子里,1.21654786346501,,
267,聖山里,1.31927602064003,,
268,石牌里,1.2862042961488,,
269,石潭里,1.33691502200285,,
270,試院里,1.24438150621037,,
271,壽德里,1.20155448133699,,
272,雙和里,1.29667641727897,,
273,雙連里,1.17577363779281,,
274,雙園里,1.26026103769346,,
275,水源里,1.26795145913691,,
276,順興里,1.1871631329044,,
277,斯文里,1.32153914669728,,
278,四維里,1.29758457792208,,
279,四育里,1.2251943375424,,
280,松光里,1.17913399699716,,
281,松基里,1.20748057081807,,
282,松江里,1.18114152464495,,
283,松隆里,1.20122845992771,,
284,松友里,1.28182217082024,,
285,泰和里,1.39677468069211,,
286,糖?里,1.26155025370637,,
287,桃源里,1.21988066335464,,
288,騰雲里,1.27778333333333,,
289,天福里,1.31093314925475,,
290,天和里,1.44717743423181,,
291,天祿里,1.57670533167875,,
292,天母里,1.15844694528863,,
293,天山里,1.36052435626366,,
294,天壽里,1.23982033213455,,
295,天玉里,1.38021188149342,,
296,通安里,1.25162169298961,,
297,通化里,1.21240539862386,,
