里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數,女,男,小於18歲,18到65歲,大於65歲
臺北市中山區聚盛里,,,1,3,13,71%,63%,17,100.00%,0.00%,6%,94%,0%
臺北市中山區新喜里,1,2,3,6,5,0%,0%,17,70.59%,29.41%,18%,59%,24%
臺北市中山區行孝里,1,,3,6,7,0%,0%,17,52.94%,47.06%,18%,76%,6%
臺北市大安區龍淵里,,1,1,6,9,0%,0%,17,70.59%,29.41%,12%,76%,12%
臺北市大安區誠安里,,,2,3,12,34%,0%,17,88.24%,11.76%,12%,71%,18%
臺北市大安區新龍里,,4,1,2,10,0%,0%,17,70.59%,29.41%,6%,94%,0%
臺北市大安區和安里,,2,3,1,11,0%,0%,17,64.71%,35.29%,12%,76%,12%
臺北市大安區全安里,,,1,3,13,0%,0%,17,70.59%,29.41%,18%,71%,12%
臺北市大同區朝陽里,,1,2,6,8,0%,1%,17,64.71%,35.29%,12%,71%,18%
臺北市信義區黎忠里,1,1,,5,9,78%,1%,16,68.75%,31.25%,25%,69%,6%
臺北市信義區中坡里,,,3,6,7,54%,1%,16,62.50%,31.25%,0%,94%,6%
臺北市松山區新益里,1,1,1,7,6,71%,93%,16,68.75%,25.00%,13%,81%,6%
臺北市松山區復勢里,1,3,2,2,8,0%,0%,16,56.25%,43.75%,19%,75%,6%
臺北市文山區忠順里,,3,,2,11,0%,1%,16,75.00%,25.00%,6%,88%,6%
臺北市內湖區港都里,,1,,5,10,54%,0%,16,62.50%,37.50%,13%,75%,13%
臺北市中正區文祥里,2,,3,3,8,34%,1%,16,87.50%,12.50%,6%,88%,6%
臺北市中山區江山里,,1,,9,6,0%,0%,16,56.25%,43.75%,25%,75%,0%
臺北市中山區成功里,,,1,7,8,0%,0%,16,68.75%,31.25%,0%,75%,25%
臺北市中山區中央里,1,,,5,10,0%,0%,16,87.50%,12.50%,13%,56%,31%
臺北市大安區義村里,1,,,5,10,0%,0%,16,56.25%,37.50%,13%,75%,13%
臺北市大安區法治里,1,,4,3,8,71%,0%,16,68.75%,31.25%,6%,81%,13%
臺北市大安區住安里,1,,,3,12,54%,81%,16,75.00%,25.00%,0%,56%,44%
臺北市大同區建功里,1,1,2,5,7,54%,1%,16,50.00%,50.00%,25%,69%,6%
臺北市士林區德華里,1,1,1,5,8,34%,0%,16,93.75%,6.25%,0%,100%,0%
臺北市士林區德行里,,,2,5,9,78%,0%,16,62.50%,37.50%,13%,81%,6%
