里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數,女,男,小於18歲,18到65歲,大於65歲
臺北市松山區吉祥里,1,4,1,13,20,0%,0%,39,69.23%,28.21%,8%,79%,13%
臺北市中正區忠勤里,,6,1,13,19,97%,1%,39,69.23%,30.77%,15%,64%,21%
臺北市士林區永倫里,1,2,2,13,21,91%,0%,39,61.54%,38.46%,10%,74%,15%
臺北市松山區安平里,1,2,4,11,20,78%,1%,38,65.79%,34.21%,8%,82%,11%
臺北市北投區關渡里,2,,2,19,15,86%,81%,38,71.05%,28.95%,21%,71%,8%
臺北市北投區清江里,1,1,3,12,21,99%,93%,38,68.42%,28.95%,13%,79%,8%
臺北市內湖區港墘里,,,1,11,26,0%,0%,38,60.53%,39.47%,13%,82%,5%
臺北市士林區天玉里,,,7,6,25,71%,0%,38,68.42%,28.95%,3%,61%,37%
臺北市南港區九如里,4,3,2,15,13,0%,0%,37,67.57%,32.43%,19%,65%,16%
臺北市文山區試院里,1,7,3,10,15,71%,0%,36,58.33%,38.89%,8%,67%,25%
臺北市內湖區樂康里,,1,2,12,21,86%,0%,36,63.89%,36.11%,0%,81%,19%
臺北市士林區後港里,2,3,1,13,17,86%,63%,36,72.22%,27.78%,8%,78%,14%
臺北市松山區慈祐里,,,3,9,23,54%,0%,35,65.71%,31.43%,6%,89%,6%
臺北市北投區中心里,1,1,1,11,21,54%,1%,35,74.29%,25.71%,9%,80%,11%
臺北市大安區龍生里,,1,3,8,23,54%,0%,35,62.86%,37.14%,20%,74%,6%
臺北市士林區芝山里,,3,1,13,18,34%,63%,35,82.86%,17.14%,6%,91%,3%
臺北市松山區復盛里,3,,2,12,17,0%,0%,34,64.71%,32.35%,6%,71%,24%
臺北市松山區莊敬里,1,7,,14,12,78%,0%,34,79.41%,20.59%,12%,79%,9%
臺北市內湖區瑞陽里,4,4,2,8,16,54%,1%,34,82.35%,14.71%,15%,76%,9%
臺北市中山區晴光里,2,2,3,6,21,54%,81%,34,76.47%,23.53%,24%,71%,6%
臺北市士林區社園里,,2,6,13,13,91%,0%,34,76.47%,23.53%,6%,71%,24%
臺北市士林區明勝里,,1,2,14,17,94%,81%,34,41.18%,58.82%,6%,74%,21%
臺北市萬華區華江里,1,6,3,9,14,86%,0%,33,72.73%,27.27%,15%,73%,12%
臺北市信義區泰和里,1,3,2,13,14,71%,63%,33,63.64%,33.33%,6%,73%,21%
臺北市文山區興旺里,1,2,1,12,17,34%,0%,33,69.70%,30.30%,6%,58%,36%
臺北市文山區木新里,3,5,1,13,11,0%,0%,33,63.64%,36.36%,3%,73%,24%
臺北市信義區三張里,3,1,6,10,12,34%,1%,32,59.38%,40.63%,6%,78%,16%
臺北市松山區民福里,1,2,2,12,15,91%,1%,32,59.38%,40.63%,13%,75%,13%
臺北市文山區萬美里,1,7,2,9,13,86%,96%,32,68.75%,25.00%,0%,97%,3%
臺北市文山區萬芳里,4,2,5,9,12,86%,63%,32,65.63%,34.38%,6%,88%,6%
臺北市內湖區港富里,3,,2,12,15,0%,0%,32,75.00%,21.88%,13%,75%,13%
臺北市內湖區西康里,1,,1,10,20,0%,1%,32,56.25%,43.75%,22%,72%,6%
臺北市大同區星明里,,2,3,12,15,71%,1%,32,59.38%,40.63%,3%,75%,22%
臺北市大同區至聖里,1,2,2,11,16,71%,63%,32,75.00%,21.88%,9%,75%,16%
臺北市南港區舊莊里,1,,2,5,23,78%,0%,31,67.74%,32.26%,10%,77%,13%
臺北市信義區中行里,2,1,1,18,9,54%,0%,31,70.97%,29.03%,6%,84%,10%
臺北市文山區華興里,1,2,3,9,16,78%,0%,31,64.52%,35.48%,6%,90%,3%
臺北市內湖區葫洲里,,1,1,11,18,34%,0%,31,61.29%,35.48%,16%,74%,10%
臺北市內湖區安泰里,,4,5,6,16,97%,63%,31,74.19%,25.81%,23%,65%,13%
臺北市中山區劍潭里,1,2,4,10,14,34%,0%,31,64.52%,35.48%,3%,84%,13%
臺北市中山區中山里,1,1,2,6,21,34%,0%,31,74.19%,25.81%,0%,87%,13%
臺北市大同區南芳里,2,,2,9,18,97%,99%,31,77.42%,22.58%,3%,77%,19%
臺北市萬華區興德里,,3,,9,18,91%,1%,30,73.33%,26.67%,7%,77%,17%
臺北市信義區松友里,1,2,1,12,14,54%,0%,30,76.67%,23.33%,10%,80%,10%
臺北市松山區東光里,,1,2,6,21,91%,81%,30,73.33%,23.33%,10%,80%,10%
臺北市北投區開明里,1,2,2,15,10,54%,81%,30,63.33%,33.33%,23%,73%,3%
臺北市北投區一德里,3,,3,12,12,54%,81%,30,76.67%,20.00%,7%,63%,30%
臺北市內湖區港華里,1,1,1,11,16,0%,1%,30,70.00%,30.00%,7%,87%,7%
臺北市內湖區清白里,1,,1,7,21,71%,93%,30,50.00%,50.00%,3%,70%,27%
臺北市大安區通安里,1,,6,7,16,0%,0%,30,60.00%,36.67%,10%,80%,10%
臺北市大同區玉泉里,1,2,1,13,13,0%,0%,30,70.00%,30.00%,7%,93%,0%
臺北市南港區合成里,2,2,2,8,15,0%,0%,29,68.97%,31.03%,10%,76%,14%
臺北市北投區榮華里,,2,3,7,17,0%,0%,29,79.31%,13.79%,3%,59%,38%
臺北市北投區振華里,3,1,,11,14,34%,1%,29,79.31%,20.69%,21%,59%,21%
臺北市文山區興福里,,2,4,9,14,34%,1%,29,72.41%,27.59%,21%,66%,14%
臺北市內湖區紫星里,1,7,1,5,15,0%,0%,29,72.41%,27.59%,7%,66%,28%
臺北市內湖區西湖里,,1,3,15,10,0%,1%,29,75.86%,24.14%,7%,79%,14%
臺北市大同區延平里,2,1,,7,19,54%,81%,29,62.07%,37.93%,14%,83%,3%
臺北市士林區舊佳里,1,4,2,11,11,0%,0%,29,68.97%,31.03%,31%,69%,0%
臺北市士林區名山里,,,3,11,15,0%,0%,29,68.97%,31.03%,14%,76%,10%
臺北市士林區天和里,1,2,2,7,17,95%,96%,29,44.83%,55.17%,14%,76%,10%
臺北市萬華區錦德里,,2,3,9,14,71%,1%,28,60.71%,35.71%,18%,61%,21%
臺北市萬華區壽德里,1,,1,9,17,78%,63%,28,60.71%,39.29%,21%,61%,18%
臺北市萬華區頂碩里,,,,11,17,34%,0%,28,71.43%,28.57%,7%,89%,4%
臺北市南港區東新里,,1,3,9,15,54%,63%,28,60.71%,39.29%,21%,54%,25%
臺北市信義區黎平里,,3,2,8,15,34%,0%,28,67.86%,32.14%,7%,93%,0%
臺北市中山區圓山里,1,,,7,20,0%,0%,28,75.00%,21.43%,7%,86%,7%
臺北市士林區福安里,,1,1,12,14,78%,0%,28,57.14%,42.86%,7%,79%,14%
臺北市士林區社子里,3,2,2,13,8,95%,81%,28,89.29%,10.71%,0%,89%,11%
臺北市萬華區日善里,1,2,5,10,9,78%,1%,27,66.67%,33.33%,11%,63%,26%
臺北市北投區奇岩里,2,,3,9,13,91%,1%,27,59.26%,40.74%,22%,70%,7%
臺北市北投區中央里,2,,4,10,11,78%,1%,27,88.89%,11.11%,7%,81%,11%
臺北市內湖區湖興里,1,2,1,3,20,0%,0%,27,51.85%,48.15%,26%,63%,11%
臺北市中山區集英里,,3,2,10,12,54%,0%,27,70.37%,22.22%,7%,81%,11%
臺北市中山區康樂里,1,2,1,5,18,34%,0%,27,70.37%,29.63%,11%,85%,4%
臺北市中山區行仁里,,1,1,10,15,0%,0%,27,62.96%,37.04%,7%,85%,7%
臺北市大同區隆和里,3,2,2,6,14,86%,0%,27,70.37%,29.63%,4%,89%,7%
臺北市萬華區福星里,,,1,8,17,54%,1%,26,80.77%,19.23%,8%,81%,12%
臺北市信義區景聯里,1,1,3,7,14,0%,0%,26,61.54%,34.62%,8%,69%,23%
臺北市松山區自強里,2,1,2,11,10,54%,1%,26,73.08%,26.92%,8%,92%,0%
臺北市北投區桃源里,1,,2,8,15,34%,0%,26,73.08%,26.92%,4%,69%,27%
臺北市北投區長安里,,2,1,11,12,99%,0%,26,57.69%,42.31%,12%,77%,12%
臺北市文山區興家里,3,,1,5,17,71%,1%,26,73.08%,26.92%,12%,77%,12%
臺北市文山區興光里,,,1,8,17,86%,1%,26,80.77%,19.23%,4%,88%,8%
臺北市文山區博嘉里,1,,2,11,12,78%,63%,26,61.54%,38.46%,15%,85%,0%
臺北市文山區明興里,,,3,10,13,91%,1%,26,73.08%,26.92%,8%,81%,12%
臺北市內湖區湖元里,,,2,10,14,0%,0%,26,73.08%,26.92%,4%,92%,4%
臺北市內湖區安湖里,1,,1,6,18,0%,0%,26,80.77%,19.23%,15%,73%,12%
臺北市內湖區內湖里,,,1,13,12,0%,0%,26,73.08%,26.92%,4%,85%,12%
臺北市大安區臨江里,1,2,1,10,12,0%,0%,26,42.31%,57.69%,4%,81%,15%
臺北市大安區義安里,,4,,10,12,0%,0%,26,57.69%,42.31%,12%,88%,0%
臺北市大安區光武里,,2,2,7,15,54%,0%,26,69.23%,30.77%,12%,73%,15%
臺北市大同區斯文里,2,,,9,15,0%,0%,26,65.38%,34.62%,12%,81%,8%
臺北市士林區福佳里,1,1,1,10,13,71%,81%,26,80.77%,19.23%,19%,65%,15%
臺北市萬華區萬壽里,,,3,2,20,34%,63%,25,72.00%,28.00%,8%,60%,32%
臺北市萬華區新和里,1,2,2,8,12,0%,1%,25,60.00%,40.00%,12%,80%,8%
臺北市南港區西新里,,,4,8,13,71%,1%,25,68.00%,32.00%,8%,56%,36%
臺北市南港區百福里,1,2,2,7,13,71%,0%,25,80.00%,16.00%,12%,68%,20%
臺北市信義區六合里,1,3,2,10,9,54%,0%,25,60.00%,40.00%,24%,68%,8%
臺北市信義區大道里,3,5,2,7,8,78%,81%,25,80.00%,20.00%,0%,84%,16%
臺北市北投區裕民里,1,2,1,6,15,54%,0%,25,64.00%,36.00%,20%,72%,8%
臺北市北投區智仁里,,,1,10,14,86%,1%,25,40.00%,60.00%,20%,64%,16%
臺北市文山區興豐里,,,1,13,11,34%,63%,25,68.00%,28.00%,12%,68%,20%
臺北市文山區興得里,1,,,8,16,34%,0%,25,76.00%,24.00%,8%,84%,8%
臺北市文山區樟文里,,1,3,8,13,97%,0%,25,76.00%,24.00%,16%,72%,12%
臺北市文山區萬興里,2,3,6,7,7,0%,0%,25,64.00%,36.00%,16%,80%,4%
臺北市文山區萬祥里,1,2,3,9,10,78%,1%,25,72.00%,28.00%,16%,72%,12%
臺北市文山區指南里,,2,3,11,9,54%,1%,25,56.00%,44.00%,8%,80%,12%
臺北市文山區木柵里,2,1,3,11,8,0%,0%,25,64.00%,36.00%,12%,80%,8%
臺北市中山區新庄里,3,,2,11,9,0%,0%,25,76.00%,24.00%,16%,72%,12%
臺北市中山區大直里,3,,3,6,13,0%,0%,25,68.00%,32.00%,32%,56%,12%
臺北市大同區永樂里,1,1,3,10,10,0%,0%,25,72.00%,28.00%,8%,72%,20%
臺北市萬華區綠堤里,,2,4,7,11,86%,0%,24,66.67%,33.33%,4%,92%,4%
臺北市萬華區新安里,2,1,2,7,12,95%,1%,24,79.17%,20.83%,29%,54%,17%
臺北市萬華區和平里,,1,1,9,13,86%,81%,24,66.67%,33.33%,33%,63%,4%
臺北市信義區雙和里,1,1,1,7,14,0%,1%,24,79.17%,20.83%,0%,92%,8%
臺北市信義區長春里,3,2,1,4,14,54%,63%,24,75.00%,25.00%,8%,79%,13%
臺北市北投區大同里,,1,2,8,13,78%,1%,24,66.67%,33.33%,4%,79%,17%
臺北市內湖區紫雲里,,4,1,6,13,0%,0%,24,58.33%,41.67%,4%,71%,25%
臺北市內湖區湖濱里,2,1,,5,16,0%,0%,24,62.50%,37.50%,8%,88%,4%
臺北市內湖區康寧里,1,2,3,8,10,91%,0%,24,66.67%,33.33%,25%,67%,8%
臺北市內湖區東湖里,1,1,1,5,16,34%,0%,24,70.83%,29.17%,0%,83%,17%
臺北市中山區正義里,,1,3,5,15,34%,1%,24,79.17%,20.83%,8%,79%,13%
臺北市中山區下埤里,,1,4,7,12,0%,0%,24,79.17%,20.83%,4%,88%,8%
臺北市大安區通化里,,,3,3,18,34%,0%,24,75.00%,25.00%,21%,75%,4%
臺北市士林區福中里,1,2,,8,13,0%,0%,24,70.83%,29.17%,13%,75%,13%
臺北市士林區葫蘆里,1,1,2,5,15,94%,96%,24,54.17%,45.83%,8%,71%,21%
臺北市士林區聖山里,1,,,12,11,0%,0%,24,45.83%,54.17%,8%,71%,21%
臺北市士林區天祿里,,2,1,7,14,0%,1%,24,87.50%,12.50%,13%,79%,8%
臺北市信義區永春里,,2,,12,9,0%,0%,23,73.91%,26.09%,13%,74%,13%
臺北市信義區四育里,,,1,10,12,0%,0%,23,86.96%,13.04%,13%,83%,4%
臺北市松山區東榮里,1,1,5,9,7,0%,0%,23,69.57%,21.74%,4%,83%,13%
臺北市文山區樟腳里,3,2,4,9,5,34%,0%,23,73.91%,26.09%,13%,74%,13%
臺北市內湖區碧山里,1,2,1,7,12,0%,1%,23,69.57%,30.43%,0%,87%,13%
臺北市中山區金泰里,1,2,2,3,15,0%,0%,23,73.91%,26.09%,22%,70%,9%
臺北市大安區建安里,,,1,8,14,0%,0%,23,82.61%,17.39%,9%,83%,9%
臺北市大同區大有里,3,1,3,7,9,0%,0%,23,73.91%,26.09%,4%,78%,17%
臺北市士林區葫東里,2,1,3,6,11,86%,63%,23,65.22%,34.78%,17%,70%,13%
臺北市士林區天母里,,1,3,7,12,0%,0%,23,78.26%,21.74%,22%,74%,4%
臺北市萬華區華中里,1,2,2,6,11,71%,0%,22,59.09%,40.91%,18%,59%,23%
臺北市萬華區忠貞里,,2,4,4,12,91%,81%,22,59.09%,40.91%,0%,68%,32%
臺北市南港區聯成里,,1,,10,11,34%,0%,22,77.27%,22.73%,14%,68%,18%
臺北市南港區三重里,1,,1,5,15,0%,0%,22,63.64%,36.36%,5%,91%,5%
臺北市信義區雅祥里,1,,2,8,11,0%,1%,22,59.09%,40.91%,0%,86%,14%
臺北市松山區新東里,1,,2,8,11,0%,0%,22,54.55%,45.45%,18%,64%,18%
臺北市松山區富泰里,,3,1,8,10,0%,1%,22,63.64%,27.27%,9%,50%,41%
臺北市松山區中正里,,1,1,5,15,0%,0%,22,63.64%,31.82%,9%,77%,14%
臺北市文山區興邦里,,6,1,5,10,78%,0%,22,81.82%,18.18%,18%,73%,9%
臺北市文山區萬隆里,1,,2,8,11,54%,0%,22,50.00%,45.45%,18%,77%,5%
臺北市中山區中原里,3,1,1,6,11,54%,0%,22,77.27%,18.18%,5%,86%,9%
臺北市大安區仁愛里,1,4,,7,10,0%,0%,22,45.45%,50.00%,18%,59%,23%
臺北市大同區蓬萊里,,1,3,7,11,34%,0%,22,72.73%,27.27%,9%,77%,14%
臺北市大同區國慶里,,1,1,16,4,54%,0%,22,72.73%,27.27%,9%,86%,5%
臺北市士林區蘭興里,1,,1,11,9,0%,0%,22,90.91%,9.09%,5%,77%,18%
臺北市士林區富光里,,3,4,7,8,54%,1%,22,63.64%,36.36%,5%,77%,18%
臺北市士林區天山里,1,2,1,7,11,0%,0%,22,81.82%,18.18%,18%,82%,0%
臺北市萬華區菜園里,2,,3,4,12,54%,0%,21,95.24%,0.00%,5%,67%,29%
臺北市萬華區青山里,,3,1,3,14,54%,0%,21,66.67%,33.33%,24%,76%,0%
臺北市萬華區全德里,,,,8,13,0%,0%,21,66.67%,33.33%,14%,76%,10%
臺北市南港區玉成里,,,6,5,10,71%,63%,21,42.86%,57.14%,14%,86%,0%
臺北市南港區中南里,1,,1,12,7,0%,0%,21,85.71%,9.52%,10%,86%,5%
臺北市信義區興雅里,1,2,,4,14,0%,0%,21,71.43%,28.57%,10%,81%,10%
臺北市松山區龍田里,,1,1,6,13,0%,1%,21,76.19%,23.81%,19%,62%,19%
臺北市北投區榮光里,2,2,1,4,12,0%,1%,21,66.67%,33.33%,10%,81%,10%
臺北市文山區興昌里,,1,1,6,13,0%,1%,21,52.38%,47.62%,10%,71%,19%
臺北市文山區樟新里,,,3,7,11,54%,1%,21,71.43%,23.81%,10%,86%,5%
臺北市文山區景慶里,,,3,7,11,0%,0%,21,66.67%,28.57%,5%,90%,5%
臺北市文山區景行里,,3,2,3,13,0%,0%,21,71.43%,23.81%,0%,86%,14%
臺北市內湖區紫陽里,,3,,5,13,0%,0%,21,80.95%,19.05%,10%,62%,29%
臺北市內湖區金龍里,,,2,4,15,78%,63%,21,71.43%,28.57%,10%,76%,14%
臺北市內湖區金瑞里,3,1,1,6,10,0%,0%,21,61.90%,38.10%,19%,81%,0%
臺北市內湖區行善里,1,3,2,4,11,0%,1%,21,57.14%,42.86%,29%,71%,0%
臺北市內湖區石潭里,1,,2,3,15,0%,0%,21,76.19%,23.81%,14%,62%,24%
臺北市中山區永安里,,1,2,7,11,78%,0%,21,71.43%,28.57%,29%,62%,10%
臺北市大安區光信里,1,,5,4,11,78%,81%,21,52.38%,38.10%,24%,67%,10%
臺北市大同區建明里,,3,,10,8,0%,0%,21,66.67%,33.33%,5%,90%,5%
臺北市大同區民權里,3,1,2,3,12,54%,0%,21,61.90%,38.10%,0%,67%,33%
臺北市萬華區忠德里,,,3,7,10,97%,81%,20,80.00%,20.00%,5%,75%,20%
臺北市萬華區孝德里,1,1,,7,11,54%,0%,20,80.00%,20.00%,5%,90%,5%
臺北市南港區南港里,1,3,1,4,11,34%,0%,20,70.00%,30.00%,0%,75%,25%
臺北市南港區東明里,1,,,13,6,0%,1%,20,60.00%,40.00%,20%,70%,10%
臺北市信義區景新里,,,1,8,11,0%,0%,20,65.00%,35.00%,10%,80%,10%
臺北市信義區敦厚里,1,1,1,3,14,0%,0%,20,65.00%,35.00%,15%,75%,10%
臺北市信義區國業里,,1,2,4,13,0%,0%,20,75.00%,25.00%,5%,90%,5%
臺北市信義區安康里,,3,1,7,9,0%,0%,20,75.00%,20.00%,20%,60%,20%
