name,content,traffic_information,display_addr,poi_addr,lat_lon
指南派出所,隸屬文山第一分局,,臺北市指南路二段177號,台北市指南路二段177號,"24.9873027,121.57795929999997"
萬芳派出所,隸屬文山第一分局,,臺北市萬美街一段50號,台北市萬美街一段50號,"25.0022655,121.56689690000007"
景美派出所,隸屬文山第二分局,,臺北市景中街2號,台北市景中街2號,"24.9928162,121.54104170000005"
興隆派出所,隸屬文山第二分局,,臺北市興隆路二段156號,台北市興隆路二段156號,"25.0015122,121.55118719999996"
萬盛派出所,隸屬文山第二分局,,臺北市羅斯福路五段151號,台北市羅斯福路五段151號,"25.003904,121.5389083"
同德派出所,隸屬南港分局,,臺北市同德路83號,台北市同德路83號,"25.0461086,121.58567719999996"
南港派出所,隸屬南港分局,,臺北市興中路12巷2號,台北市興中路12巷2號,"25.0549451,121.607169"
舊庄派出所,隸屬南港分局,,臺北市舊莊街一段213號,台北市舊莊街一段213號,"25.0384311,121.62266269999998"
玉成派出所,隸屬南港分局,,臺北市向陽路150號,台北市向陽路150號,"25.0553339,121.59487009999998"
內湖派出所,隸屬內湖分局,,臺北市內湖路二段261號,台北市內湖路二段261號,"25.0820751,121.59013329999993"
潭美派出所,隸屬內湖分局,,臺北市新明路324號,台北市新明路324號,"25.0553025,121.58165889999998"
西湖派出所,隸屬內湖分局,,臺北市瑞光路515號,台北市瑞光路515號,"25.079179,121.56915119999996"
港墘派出所,隸屬內湖分局,,臺北市內湖路一段550號,台北市內湖路一段550號,"25.0788249,121.57681159999993"
大湖派出所,隸屬內湖分局,,臺北市成功路五段1號,台北市成功路五段1號,"25.0840934,121.60132339999996"
文德派出所,隸屬內湖分局,,臺北市民權東路六段26號,台北市民權東路六段26號,"25.06485,121.57293119999997"
東湖派出所,隸屬內湖分局,,臺北市五分街10號,台北市五分街10號,"25.0674688,121.61298979999992"
康樂派出所,隸屬內湖分局,,臺北市康樂街110巷16弄20號,台北市康樂街110巷16弄20號,"25.0704268,121.61838779999994"
康寧派出所,隸屬內湖分局,,臺北市金湖路83號,台北市金湖路83號,"25.0812607,121.59754900000007"
