里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數
臺北市士林區翠山里,,50%,,7%,8%,0%,0%,8
臺北市士林區岩山里,,,,16%,14%,0%,0%,8
臺北市信義區興隆里,,,,16%,8%,0%,0%,7
臺北市信義區嘉興里,,0%,,7%,8%,0%,0%,7
臺北市松山區復源里,,,43%,,14%,0%,0%,7
臺北市文山區景美里,,0%,0%,7%,5%,0%,0%,7
臺北市中正區龍興里,,50%,,0%,8%,0%,0%,7
臺北市中正區建國里,,,43%,0%,8%,0%,0%,7
臺北市大安區龍安里,0%,0%,,7%,5%,0%,0%,7
臺北市士林區陽明里,0%,0%,,0%,8%,0%,0%,7
臺北市士林區公館里,,,,16%,8%,0%,0%,7
臺北市南港區萬福里,,,,30%,2%,0%,0%,6
臺北市內湖區蘆洲里,,0%,,7%,5%,0%,0%,6
臺北市中正區水源里,,,,0%,14%,0%,0%,6
臺北市萬華區騰雲里,0%,,,7%,2%,0%,0%,5
臺北市萬華區保德里,,,,16%,2%,34%,1%,5
臺北市文山區萬有里,,,0%,0%,5%,0%,0%,5
臺北市文山區老泉里,,,0%,0%,5%,54%,0%,5
臺北市內湖區西安里,,,,16%,2%,0%,0%,5
臺北市中正區黎明里,,,,7%,5%,0%,0%,5
臺北市大安區錦華里,,,0%,,8%,0%,0%,5
臺北市北投區洲美里,,,,0%,5%,0%,1%,4
臺北市大安區永康里,,,0%,,5%,0%,0%,4
臺北市士林區溪山里,,,,7%,2%,0%,1%,4
臺北市大安區錦安里,,,,,5%,0%,0%,3
臺北市松山區東昌里,,0%,,,0%,0%,0%,2
臺北市北投區湖田里,,,,7%,,0%,0%,2
臺北市北投區大屯里,,,43%,,,34%,0%,2
臺北市中正區南門里,,,,0%,0%,0%,0%,2
臺北市大安區敦安里,,,,0%,0%,0%,0%,2
臺北市大安區臥龍里,,,,7%,,0%,0%,2
臺北市士林區新安里,,,,,2%,0%,0%,2
臺北市士林區菁山里,,,,0%,0%,0%,0%,2
臺北市士林區平等里,,,,,2%,0%,0%,2
臺北市信義區新仁里,,,,,0%,0%,0%,1
臺北市中山區大佳里,0%,,,,,0%,0%,1
臺北市大安區光明里,,,,,0%,0%,0%,1
