里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數
臺北市北投區桃源里,0%,,43%,70%,81%,34%,0%,26
臺北市北投區長安里,,50%,0%,86%,64%,99%,0%,26
臺北市文山區興家里,87%,,0%,39%,88%,71%,1%,26
臺北市文山區興光里,,,0%,70%,88%,86%,1%,26
臺北市文山區博嘉里,0%,,43%,86%,64%,78%,63%,26
臺北市文山區明興里,,,73%,82%,70%,91%,1%,26
臺北市內湖區湖元里,,,43%,82%,76%,0%,0%,26
臺北市內湖區安湖里,0%,,0%,50%,91%,0%,0%,26
臺北市內湖區內湖里,,,0%,94%,64%,0%,0%,26
臺北市大安區臨江里,0%,50%,0%,82%,64%,0%,0%,26
臺北市大安區義安里,,91%,,82%,64%,0%,0%,26
臺北市大安區光武里,,50%,43%,59%,81%,54%,0%,26
臺北市大同區斯文里,70%,,,76%,81%,0%,0%,26
臺北市士林區福佳里,0%,0%,0%,82%,70%,71%,81%,26
臺北市萬華區萬壽里,,,73%,7%,94%,34%,63%,25
臺北市萬華區新和里,0%,50%,43%,70%,64%,0%,1%,25
臺北市南港區西新里,,,89%,70%,70%,71%,1%,25
臺北市南港區百福里,0%,50%,43%,59%,70%,71%,0%,25
臺北市信義區六合里,0%,79%,43%,82%,42%,54%,0%,25
臺北市信義區大道里,87%,95%,43%,59%,34%,78%,81%,25
臺北市北投區裕民里,0%,50%,0%,50%,81%,54%,0%,25
臺北市北投區智仁里,,,0%,82%,76%,86%,1%,25
臺北市文山區興豐里,,,0%,94%,55%,34%,63%,25
臺北市文山區興得里,0%,,,70%,86%,34%,0%,25
臺北市文山區樟文里,,0%,73%,70%,70%,97%,0%,25
臺北市文山區萬興里,70%,79%,97%,59%,27%,0%,0%,25
臺北市文山區萬祥里,0%,50%,73%,76%,49%,78%,1%,25
臺北市文山區指南里,,50%,73%,86%,42%,54%,1%,25
臺北市文山區木柵里,70%,0%,73%,86%,34%,0%,0%,25
臺北市中山區新庄里,87%,,43%,86%,42%,0%,0%,25
臺北市中山區大直里,87%,,73%,50%,70%,0%,0%,25
臺北市大同區永樂里,0%,0%,73%,82%,49%,0%,0%,25
臺北市萬華區綠堤里,,50%,89%,59%,55%,86%,0%,24
臺北市萬華區新安里,70%,0%,43%,59%,64%,95%,1%,24
臺北市萬華區和平里,,0%,0%,76%,70%,86%,81%,24
臺北市信義區雙和里,0%,0%,0%,59%,76%,0%,1%,24
臺北市信義區長春里,87%,50%,0%,30%,76%,54%,63%,24
臺北市北投區大同里,,0%,43%,70%,70%,78%,1%,24
臺北市內湖區紫雲里,,91%,0%,50%,70%,0%,0%,24
臺北市內湖區湖濱里,70%,0%,,39%,86%,0%,0%,24
臺北市內湖區康寧里,0%,50%,73%,70%,49%,91%,0%,24
臺北市內湖區東湖里,0%,0%,0%,39%,86%,34%,0%,24
臺北市中山區正義里,,0%,73%,39%,81%,34%,1%,24
臺北市中山區下埤里,,0%,89%,59%,64%,0%,0%,24
臺北市大安區通化里,,,73%,16%,91%,34%,0%,24
臺北市士林區福中里,0%,50%,,70%,70%,0%,0%,24
臺北市士林區葫蘆里,0%,0%,43%,39%,81%,94%,96%,24
臺北市士林區聖山里,0%,,,91%,55%,0%,0%,24
臺北市士林區天祿里,,50%,0%,59%,76%,0%,1%,24
臺北市信義區永春里,,50%,,91%,42%,0%,0%,23
臺北市信義區四育里,,,0%,82%,64%,0%,0%,23
臺北市松山區東榮里,0%,0%,94%,76%,27%,0%,0%,23
臺北市文山區樟腳里,87%,50%,89%,76%,14%,34%,0%,23
臺北市內湖區碧山里,0%,50%,0%,59%,64%,0%,1%,23
臺北市中山區金泰里,0%,50%,43%,16%,81%,0%,0%,23
臺北市大安區建安里,,,0%,70%,76%,0%,0%,23
臺北市大同區大有里,87%,0%,73%,59%,42%,0%,0%,23
臺北市士林區葫東里,70%,0%,73%,50%,55%,86%,63%,23
臺北市士林區天母里,,0%,73%,59%,64%,0%,0%,23
臺北市萬華區華中里,0%,50%,43%,50%,55%,71%,0%,22
臺北市萬華區忠貞里,,50%,89%,30%,64%,91%,81%,22
臺北市南港區聯成里,,0%,,82%,55%,34%,0%,22
臺北市南港區三重里,0%,,0%,39%,81%,0%,0%,22
臺北市信義區雅祥里,0%,,43%,70%,55%,0%,1%,22
臺北市松山區新東里,0%,,43%,70%,55%,0%,0%,22
臺北市松山區富泰里,,79%,0%,70%,49%,0%,1%,22
臺北市松山區中正里,,0%,0%,39%,81%,0%,0%,22
臺北市文山區興邦里,,97%,0%,39%,49%,78%,0%,22
臺北市文山區萬隆里,0%,,43%,70%,55%,54%,0%,22
臺北市中山區中原里,87%,0%,0%,50%,55%,54%,0%,22
臺北市大安區仁愛里,0%,91%,,59%,49%,0%,0%,22
臺北市大同區蓬萊里,,0%,73%,59%,55%,34%,0%,22
臺北市大同區國慶里,,0%,0%,98%,8%,54%,0%,22
臺北市士林區蘭興里,0%,,0%,86%,42%,0%,0%,22
臺北市士林區富光里,,79%,89%,59%,34%,54%,1%,22
臺北市士林區天山里,0%,50%,0%,59%,55%,0%,0%,22
臺北市萬華區菜園里,70%,,73%,30%,64%,54%,0%,21
臺北市萬華區青山里,,79%,0%,16%,76%,54%,0%,21
臺北市萬華區全德里,,,,70%,70%,0%,0%,21
臺北市南港區玉成里,,,97%,39%,49%,71%,63%,21
臺北市南港區中南里,0%,,0%,91%,27%,0%,0%,21
臺北市信義區興雅里,0%,50%,,30%,76%,0%,0%,21
臺北市松山區龍田里,,0%,0%,50%,70%,0%,1%,21
臺北市北投區榮光里,70%,50%,0%,30%,64%,0%,1%,21
臺北市文山區興昌里,,0%,0%,50%,70%,0%,1%,21
臺北市文山區樟新里,,,73%,59%,55%,54%,1%,21
臺北市文山區景慶里,,,73%,59%,55%,0%,0%,21
臺北市文山區景行里,,79%,43%,16%,70%,0%,0%,21
臺北市內湖區紫陽里,,79%,,39%,70%,0%,0%,21
臺北市內湖區金龍里,,,43%,30%,81%,78%,63%,21
臺北市內湖區金瑞里,87%,0%,0%,50%,49%,0%,0%,21
臺北市內湖區行善里,0%,79%,43%,30%,55%,0%,1%,21
臺北市內湖區石潭里,0%,,43%,16%,81%,0%,0%,21
臺北市中山區永安里,,0%,43%,59%,55%,78%,0%,21
臺北市大安區光信里,0%,,94%,30%,55%,78%,81%,21
臺北市大同區建明里,,79%,,82%,34%,0%,0%,21
臺北市大同區民權里,87%,0%,43%,16%,64%,54%,0%,21
臺北市萬華區忠德里,,,73%,59%,49%,97%,81%,20
臺北市萬華區孝德里,0%,0%,,59%,55%,54%,0%,20
臺北市南港區南港里,0%,79%,0%,30%,55%,34%,0%,20
臺北市南港區東明里,0%,,,94%,20%,0%,1%,20
臺北市信義區景新里,,,0%,70%,55%,0%,0%,20
臺北市信義區敦厚里,0%,0%,0%,16%,76%,0%,0%,20
臺北市信義區國業里,,0%,43%,30%,70%,0%,0%,20
臺北市信義區安康里,,79%,0%,59%,42%,0%,0%,20
